 < 23:04:29 >  40 6,60335445404053 44,3576393127441 
 < 23:04:30 >  40 6,44124698638916 44,3287048339844 
 < 23:04:31 >  40 6,28652334213257 44,2997665405273 
 < 23:04:32 >  40 6,13121891021729 44,2708320617676 
 < 23:04:33 >  40 5,98952436447144 44,2418975830078 
 < 23:04:34 >  40 5,85055732727051 44,212963104248 
 < 23:04:35 >  40 5,53551721572876 44,212963104248 
 < 23:04:36 >  40 5,38881969451904 44,1840286254883 
 < 23:04:37 >  40 5,26577663421631 44,1550903320313 
 < 23:04:38 >  40 5,12036466598511 44,1261558532715 
 < 23:04:39 >  40 4,97578525543213 44,0972213745117 
 < 23:04:40 >  40 4,98068904876709 44,0393524169922 
 < 23:04:41 >  40 4,67745876312256 44,0393524169922 
 < 23:04:42 >  40 4,54193735122681 44,0104141235352 
 < 23:04:43 >  40 4,25060939788818 44,0104141235352 
 < 23:04:44 >  40 4,29284572601318 43,9525451660156 
 < 23:04:45 >  40 3,84196519851685 43,9814796447754 
 < 23:04:46 >  40 3,71715307235718 43,9525451660156 
 < 23:04:47 >  40 3,44246172904968 43,9525451660156 
 < 23:04:48 >  40 3,34164381027222 43,9236106872559 
 < 23:04:49 >  40 3,05886507034302 43,9236106872559 
 < 23:04:50 >  40 2,77675485610962 43,9236106872559 
 < 23:04:51 >  40 2,67746353149414 43,8946762084961 
 < 23:04:52 >  40 2,38239097595215 43,8946762084961 
 < 23:04:53 >  40 2,28436923027039 43,8657417297363 
 < 23:04:54 >  40 1,99122393131256 43,8657417297363 
 < 23:04:55 >  40 1,88257026672363 43,8368034362793 
 < 23:04:56 >  40 1,60372233390808 43,8368034362793 
 < 23:04:57 >  40 1,48582196235657 43,8078689575195 
 < 23:04:58 >  40 1,37581181526184 43,7789344787598 
 < 23:04:59 >  40 1,10064852237701 43,7789344787598 
 < 23:05:00 >  40 0,984190762042999 43,75 
 < 23:05:01 >  40 0,873336434364319 43,7210655212402 
 < 23:05:02 >  40 0,757213592529297 43,6921272277832 
 < 23:05:03 >  40 0,650127410888672 43,6631927490234 
 < 23:05:04 >  40 0,705208957195282 43,6053237915039 
 < 23:05:05 >  40 0,42464143037796 43,6053237915039 
 < 23:05:06 >  40 0,323400884866714 43,5763893127441 
 < 23:05:07 >  40 0,0565673820674419 43,5763893127441 
 < 23:05:08 >  40 0,121239468455315 43,5185165405273 
 < 23:05:09 >  40 0 43,5185165405273 
 < 23:05:10 >  40 0 43,4895820617676 
 < 23:05:11 >  40 0 43,4606475830078 
 < 23:05:12 >  40 0 43,431713104248 
 < 23:05:13 >  40 0 43,4027786254883 
 < 23:05:14 >  40 0,113335609436035 43,3449058532715 
 < 23:05:15 >  40 0 43,3449058532715 
 < 23:05:16 >  40 0 43,3159713745117 
 < 23:05:17 >  40 0 43,287036895752 
 < 23:05:18 >  40 0,13380965590477 43,2291641235352 
 < 23:05:19 >  40 0 43,2291641235352 
 < 23:05:20 >  40 0 43,2002296447754 
 < 23:05:21 >  40 0,102011300623417 43,1423606872559 
